customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
2927-NCQVN,2023-11-12,Refferal,2023-12-12,Premium,Monthly,2024-07-30,Forgot to cancel trial,91.89,2297,72,1,amara,India,Delhi,Female,2004-04-07 11:31:25,,,,
1133-ZNDRY,2021-11-26,Paid,2021-12-26,Premium,Monthly,,,46.0,2116,17,0,ubika,India,Telangana,Female,2005-01-25 11:31:25,2025-10-25,N,87.0,1.0
1163-SBBAI,2024-12-31,Refferal,2025-12-31,Premium,Annual,,,48.52,2911,30,0,aarush,India,Uttar Pradesh,Male,1968-07-22 11:31:25,2025-06-25,Y,22.0,2.0
1790-GELKH,2021-07-13,Refferal,2022-07-13,Standard,Annual,,,15.51,1178,16,0,maya,India,Uttar Pradesh,Female,2006-01-22 11:31:25,,,,
0960-EAKYU,2021-03-23,Refferal,2022-03-23,Standard,Annual,,,11.29,925,13,0,om,India,Uttar Pradesh,Male,1983-04-22 11:31:25,2025-05-25,N,54.0,1.0
3853-KYOPB,2025-07-05,Refferal,2025-08-04,Premium,Monthly,,,52.28,836,32,0,praneel,India,Rajasthan,Male,1975-01-05 11:31:25,,,,
9224-ZBFGY,2025-04-11,Organic,2025-05-11,Premium,Monthly,2026-03-31,Switched to competitor,18.58,594,78,1,kevin,India,Rajasthan,Male,1995-12-31 11:31:25,2026-02-05,N,67.0,1.0
3450-SFQGM,2026-03-26,Organic,2026-04-25,Standard,Monthly,,,13.64,395,7,0,diya,Nepal,Kathmandu,Female,1981-07-05 11:31:25,,,,
2442-OVPDD,2021-02-02,Paid,2021-03-04,Basic,Monthly,,,9.89,445,58,0,saanvi,India,Maharashtra,Female,1975-07-14 11:31:25,2025-11-23,N,71.0,2.0
6745-UWVGU,2023-12-16,Refferal,2024-12-15,Premium,Annual,2026-03-01,Not enough content,47.87,2824,90,1,pratyush,India,Uttar Pradesh,Male,1997-12-25 11:31:25,,,,
8785-IAWGP,2020-11-25,Organic,2021-11-25,Standard,Annual,,,11.26,934,46,0,bakhshi,Nepal,Kathmandu,Male,1984-10-29 11:31:25,,,,
3228-JBRII,2025-01-30,Refferal,2025-03-01,Premium,Monthly,2025-12-19,Poor streaming quality,46.43,3946,96,1,jhalak,India,Meghalaya,Female,1993-04-29 11:31:25,2026-08-11,N,87.0,1.0
5279-MLFMX,2025-08-14,Paid,2026-08-14,Basic,Annual,,,6.58,157,32,0,jackson,India,Karnataka,Male,1986-10-04 11:31:25,2025-05-25,Y,32.0,1.0
6547-GRATU,2024-04-16,Paid,2024-05-16,Basic,Monthly,,,8.66,614,42,0,vasana,India,Delhi,Female,2003-02-26 11:31:25,,,,
8270-LXLEW,2021-07-28,Paid,2021-08-27,Standard,Monthly,2022-06-16,Too expensive,13.01,832,92,1,rajata,India,Meghalaya,Female,2003-06-15 11:31:25,2025-05-07,N,71.0,1.0
6812-BVKUY,2024-09-02,Organic,2024-10-02,Premium,Monthly,,,73.09,5627,17,0,lila,India,Telangana,Female,1988-03-30 11:31:25,2026-01-02,N,75.0,1.0
7657-XZNXP,2024-02-21,Paid,2025-02-20,Standard,Annual,,,16.27,1106,19,0,balendra,India,Telangana,Male,1998-02-08 11:31:25,,,,
7705-AOZJQ,2023-09-16,Paid,2024-09-15,Standard,Annual,2025-10-25,Too expensive,16.68,483,94,1,frederick,India,Maharashtra,Male,1974-07-28 11:31:25,,,,
5096-CAIRY,2021-07-30,Paid,2021-08-29,Standard,Monthly,2024-01-08,Not enough content,16.89,388,86,1,krisha,India,Karnataka,Female,1978-06-22 11:31:25,,,,
0207-WVCYQ,2022-03-10,Paid,2022-04-09,Premium,Monthly,2023-08-09,Switched to competitor,50.66,2533,98,1,ranveer,India,Telangana,Male,2003-06-30 11:31:25,,,,
7613-ORIMI,2024-07-28,Refferal,2025-07-28,Premium,Annual,,,59.63,4591,31,0,imaran,India,Meghalaya,Male,1981-06-21 11:31:25,,,,
1524-HKGRJ,2021-12-15,Refferal,2022-01-14,Standard,Monthly,2023-03-18,Poor streaming quality,14.21,710,93,1,ayaan,India,Rajasthan,Male,1997-05-24 11:31:25,,,,
8595-PZVHJ,2025-04-07,Organic,2025-05-07,Premium,Monthly,,,83.44,5924,24,0,amol,India,Delhi,Male,1961-07-30 11:31:25,2025-06-10,N,80.0,1.0
1070-KBQBD,2021-11-07,Paid,2021-12-07,Premium,Monthly,,,51.19,2764,39,0,bachittar,India,Nagaland,Male,1994-01-09 11:31:25,,,,
9988-YCTQG,2021-11-10,Refferal,2022-11-10,Premium,Annual,,,70.71,3394,53,0,nakul,India,Karnataka,Male,1993-05-03 11:31:25,,,,
9663-RYLOQ,2022-11-29,Refferal,2022-12-29,Premium,Monthly,,,70.47,5496,31,0,zaid,Nepal,Kathmandu,Male,1984-04-13 11:31:25,2026-06-20,N,70.0,1.0
0423-CZVOY,2021-06-17,Organic,2021-07-17,Premium,Monthly,,,79.06,5297,24,0,vasudha,Nepal,Kathmandu,Female,1972-05-27 11:31:25,2024-12-01,Y,23.0,1.0
4722-RKTAC,2024-12-06,Refferal,2025-01-05,Premium,Monthly,,,74.72,3063,20,0,lekha,India,Telangana,Female,1956-10-15 11:31:25,,,,
4719-LSDZP,2025-10-19,Organic,2025-11-18,Premium,Monthly,2026-03-22,Poor streaming quality,29.54,2245,85,1,upadhriti,India,Maharashtra,Female,1965-01-18 11:31:25,2025-06-08,N,88.0,1.0
2236-WHUKY,2026-05-16,Paid,2026-06-15,Basic,Monthly,,,7.5,337,39,0,januja,India,Meghalaya,Female,2000-08-12 11:31:25,2025-08-16,N,74.0,2.0
2492-MANPW,2025-08-03,Paid,2025-09-02,Basic,Monthly,,,7.34,418,57,0,arjun,India,Uttar Pradesh,Male,1969-08-14 11:31:25,,,,
8742-JISTW,2024-03-30,Organic,2024-04-29,Premium,Monthly,2026-07-08,Switched to competitor,70.04,3642,81,1,ganga,India,Meghalaya,Female,1964-10-17 11:31:25,2026-03-23,N,86.0,1.0
2950-ECWQG,2024-01-25,Organic,2025-01-24,Premium,Annual,2025-10-02,Not enough content,29.84,2058,92,1,udyati,Nepal,Kathmandu,Female,1997-12-01 11:31:25,2025-10-30,Y,22.0,2.0
9417-HSAVK,2023-09-06,Refferal,2024-09-05,Basic,Annual,2024-06-27,Switched to competitor,6.87,137,79,1,vivaan,India,Maharashtra,Male,2001-04-01 11:31:25,,,,
0546-PTCHT,2024-07-19,Paid,2025-07-19,Basic,Annual,2024-10-19,Too expensive,8.98,386,97,1,aashi,India,Rajasthan,Female,1981-02-19 11:31:25,,,,
6511-ZUJUA,2024-07-22,Organic,2025-07-22,Premium,Annual,2025-11-24,Not enough content,86.63,5804,73,1,deepa,India,Meghalaya,Female,1990-01-05 11:31:25,2025-09-17,N,81.0,2.0
7432-JYSOP,2021-04-12,Refferal,2022-04-12,Premium,Annual,,,35.7,2213,37,0,panini,India,Karnataka,Female,1993-04-20 11:31:25,,,,
5876-BHZYV,2021-07-19,Refferal,2022-07-19,Basic,Annual,,,6.82,388,52,0,teerth,India,Maharashtra,Male,1986-08-10 11:31:25,2026-01-30,N,84.0,2.0
2858-CWDJU,2026-03-23,Organic,2026-04-22,Premium,Monthly,,,26.17,523,49,0,karan,India,Meghalaya,Male,1994-06-15 11:31:25,,,,
8543-HQAZW,2023-07-23,Paid,2024-07-22,Premium,Annual,,,71.4,3712,32,0,gaurav,India,Uttar Pradesh,Male,1963-12-08 11:31:25,,,,
7048-CSWQT,2025-08-23,Refferal,2026-08-23,Premium,Annual,2026-05-07,Switched to competitor,67.87,1764,96,1,damyanti,India,Uttar Pradesh,Female,1993-10-23 11:31:25,2025-03-27,N,73.0,1.0
9115-BYORK,2024-02-20,Paid,2025-02-19,Standard,Annual,2026-07-19,Forgot to cancel trial,14.93,925,73,1,yashica,India,Telangana,Female,1961-04-20 11:31:25,,,,
9406-FLOTQ,2022-10-15,Refferal,2023-10-15,Basic,Annual,2022-12-31,Switched to competitor,8.26,677,76,1,faraj,India,Meghalaya,Male,1981-03-15 11:31:25,2024-12-17,Y,19.0,1.0
9299-PWETB,2025-12-01,Paid,2025-12-31,Standard,Monthly,,,15.06,813,5,0,zilmil,India,Telangana,Female,1996-05-05 11:31:25,2025-11-01,Y,16.0,2.0
4742-IATEJ,2025-12-24,Paid,2026-01-23,Premium,Monthly,2026-04-21,Switched to competitor,48.32,2705,75,1,daksh,India,Rajasthan,Male,1960-06-25 11:31:25,,,,
7538-VXCVG,2022-01-05,Paid,2022-02-04,Premium,Monthly,,,32.53,1073,18,0,nikita,India,Telangana,Female,1987-02-23 11:31:25,2025-02-13,Y,14.0,1.0
1234-EUMTT,2021-02-16,Paid,2021-03-18,Standard,Monthly,2023-09-14,Switched to competitor,11.33,249,81,1,chaaya,India,Rajasthan,Female,1985-01-18 11:31:25,,,,
1257-QZCPJ,2025-04-30,Refferal,2025-05-30,Standard,Monthly,2026-05-15,Switched to competitor,11.61,917,90,1,xavier,India,Maharashtra,Male,2007-12-22 11:31:25,2026-08-05,N,78.0,1.0
9991-EJHKI,2021-05-17,Organic,2022-05-17,Basic,Annual,2022-03-17,Not enough content,8.4,453,90,1,dev,India,Rajasthan,Male,1965-03-01 11:31:25,,,,
6421-DSCOQ,2026-01-30,Organic,2027-01-30,Standard,Annual,,,15.59,530,7,0,vyanjana,India,Karnataka,Female,1994-09-03 11:31:25,2025-09-10,N,52.0,2.0
2147-PEESQ,2026-03-08,Organic,2026-04-07,Standard,Monthly,,,12.43,484,26,0,siddharth,Nepal,Kathmandu,Male,1977-12-30 11:31:25,,,,
9345-ZMHJN,2024-09-26,Refferal,2025-09-26,Basic,Annual,,,9.39,460,31,0,irya,Nepal,Kathmandu,Female,1961-05-14 11:31:25,,,,
2414-VCXVX,2026-05-11,Paid,2027-05-11,Standard,Annual,2026-05-30,Not enough content,15.28,1146,92,1,sudiksha,Nepal,Kathmandu,Female,1977-11-02 11:31:25,,,,
7685-LACGV,2023-02-27,Paid,2023-03-29,Premium,Monthly,,,22.7,1884,4,0,rachit,India,Telangana,Male,1982-07-14 11:31:25,,,,
9421-GDLPG,2023-03-27,Organic,2024-03-26,Premium,Annual,,,47.27,2930,19,0,yauvani,India,Karnataka,Female,1989-01-14 11:31:25,,,,
5850-UITQU,2021-12-05,Paid,2022-01-04,Premium,Monthly,2024-07-14,Switched to competitor,65.37,3399,76,1,jatin,India,Maharashtra,Male,1987-01-22 11:31:25,2025-04-25,Y,39.0,1.0
6524-ZOGTE,2024-01-08,Organic,2024-02-07,Standard,Monthly,,,12.11,980,20,0,ishwar,India,Rajasthan,Male,1989-09-14 11:31:25,,,,
6955-CPVOI,2021-01-17,Paid,2022-01-17,Basic,Annual,,,8.45,185,7,0,aarush,India,Meghalaya,Male,1994-11-30 11:31:25,,,,
6655-JURYD,2021-12-14,Paid,2022-01-13,Premium,Monthly,,,68.92,1654,39,0,ayushman,India,Maharashtra,Male,1977-11-10 11:31:25,2026-06-13,N,67.0,1.0
1858-AENXD,2021-01-16,Refferal,2021-02-15,Standard,Monthly,,,12.03,661,45,0,oni,India,Nagaland,Female,1982-04-22 11:31:25,2025-02-10,N,69.0,1.0
2852-UNDFD,2021-11-13,Paid,2022-11-13,Premium,Annual,,,53.89,4742,7,0,watika,India,Rajasthan,Female,2006-03-06 11:31:25,2024-11-25,Y,24.0,1.0
5644-DVOPT,2022-01-13,Paid,2022-02-12,Standard,Monthly,,,16.64,782,15,0,vritti,India,Maharashtra,Female,2003-03-03 11:31:25,,,,
9024-HQPCQ,2025-04-12,Refferal,2025-05-12,Standard,Monthly,,,14.84,1305,29,0,vritti,India,Delhi,Female,1986-12-23 11:31:25,,,,
0496-MQHYM,2021-03-07,Paid,2022-03-07,Standard,Annual,,,16.16,953,65,0,ikshita,India,Meghalaya,Female,1962-01-23 11:31:25,2025-12-15,N,56.0,2.0
2308-CHJPG,2023-04-28,Paid,2023-05-28,Standard,Monthly,,,11.13,500,16,0,samesh,India,Rajasthan,Male,1984-09-28 11:31:25,,,,
0797-BMWRM,2024-07-05,Paid,2024-08-04,Premium,Monthly,2025-12-18,Poor streaming quality,32.59,2770,78,1,avi,India,Telangana,Male,1980-05-31 11:31:25,,,,
1946-DCJZO,2020-12-26,Paid,2021-12-26,Standard,Annual,,,16.35,899,13,0,chavvi,India,Telangana,Female,1960-10-01 11:31:25,2026-02-04,N,87.0,1.0
8351-NSHVJ,2022-01-25,Organic,2023-01-25,Premium,Annual,,,35.06,2874,43,0,darika,India,Meghalaya,Female,1959-01-29 11:31:25,,,,
6229-DRAYC,2023-09-21,Paid,2023-10-21,Premium,Monthly,,,60.06,3783,23,0,girish,India,Delhi,Male,1974-12-24 11:31:25,,,,
7531-XIJUS,2023-01-23,Organic,2024-01-23,Premium,Annual,,,69.76,5999,62,0,ekaraj,India,Uttar Pradesh,Male,1978-10-20 11:31:25,,,,
4480-HOOXK,2023-04-19,Refferal,2023-05-19,Premium,Monthly,,,33.15,1624,11,0,liam,India,Delhi,Male,1982-06-29 11:31:25,2026-05-22,Y,11.0,1.0
8700-FGCIM,2023-03-09,Refferal,2023-04-08,Standard,Monthly,2023-06-08,Too expensive,15.6,1060,98,1,baljiwan,India,Delhi,Male,1999-05-13 11:31:25,,,,
0595-ZKMYZ,2020-12-05,Paid,2021-12-05,Premium,Annual,,,84.68,4149,15,0,chandran,Nepal,Kathmandu,Male,1966-04-25 11:31:25,,,,
5417-ELGET,2026-03-17,Paid,2027-03-17,Standard,Annual,2026-06-06,Poor streaming quality,11.83,532,84,1,abhimanyu,India,Nagaland,Male,1993-01-24 11:31:25,,,,
5400-HSAQS,2021-08-05,Paid,2022-08-05,Premium,Annual,2022-05-20,Poor streaming quality,88.54,3010,84,1,jagat,India,Meghalaya,Male,2001-10-08 11:31:25,,,,
9924-JSXTU,2023-05-28,Refferal,2023-06-27,Premium,Monthly,2025-04-13,Forgot to cancel trial,55.9,3968,73,1,watika,India,Karnataka,Female,2004-01-27 11:31:25,,,,
9554-MXLBD,2025-10-29,Paid,2026-10-29,Premium,Annual,2025-12-13,Switched to competitor,21.39,1604,71,1,suhani,India,Uttar Pradesh,Female,1984-05-02 11:31:25,2024-12-19,Y,30.0,1.0
6887-JXLXJ,2026-04-21,Refferal,2026-05-21,Basic,Monthly,,,9.33,690,46,0,aadhya,India,Delhi,Female,1987-11-20 11:31:25,,,,
6948-NVGJH,2025-12-18,Refferal,2026-12-18,Standard,Annual,,,14.55,305,18,0,kevin,Nepal,Kathmandu,Male,1994-04-19 11:31:25,,,,
6590-LOTUD,2022-04-12,Refferal,2022-05-12,Standard,Monthly,,,11.36,420,43,0,vasana,Nepal,Kathmandu,Female,1985-06-15 11:31:25,,,,
9107-MZYRU,2021-07-12,Paid,2021-08-11,Premium,Monthly,,,78.42,5332,38,0,yagnesh,India,Delhi,Male,1973-03-08 11:31:25,,,,
6363-GFQXW,2021-11-21,Refferal,2021-12-21,Basic,Monthly,,,8.89,506,22,0,manbir,India,Nagaland,Male,1990-07-11 11:31:25,,,,
0251-FETTT,2023-12-20,Paid,2024-01-19,Premium,Monthly,,,37.61,1015,54,0,ayush,Nepal,Kathmandu,Male,1978-02-27 11:31:25,,,,
7692-TIFIB,2024-12-08,Refferal,2025-01-07,Premium,Monthly,,,36.42,2112,19,0,azaan,India,Maharashtra,Male,2008-08-23 11:31:25,,,,
8005-ZQMEU,2020-12-04,Organic,2021-12-04,Standard,Annual,2021-09-26,Too expensive,15.9,365,92,1,ayush,India,Uttar Pradesh,Male,2005-04-28 11:31:25,2025-08-04,N,53.0,1.0
7916-RANKA,2020-12-18,Refferal,2021-01-17,Standard,Monthly,,,12.14,594,53,0,farhan,India,Meghalaya,Male,1995-04-26 11:31:25,2025-08-27,N,86.0,1.0
3700-HVCZQ,2021-01-11,Organic,2021-02-10,Premium,Monthly,,,42.84,3512,61,0,idika,India,Telangana,Female,1961-09-20 11:31:25,2024-10-09,N,86.0,1.0
0762-YRHOR,2022-12-16,Refferal,2023-01-15,Standard,Monthly,,,12.43,1044,24,0,kamya,India,Maharashtra,Female,1969-08-15 11:31:25,2026-07-10,N,55.0,1.0
5666-BLVIT,2023-12-19,Paid,2024-01-18,Premium,Monthly,,,31.92,1659,54,0,jatin,Nepal,Kathmandu,Male,1981-03-17 11:31:25,2024-09-19,Y,22.0,1.0
2527-TICAI,2023-01-18,Refferal,2023-02-17,Premium,Monthly,2025-03-31,Switched to competitor,24.97,1298,83,1,banjeet,India,Delhi,Male,1995-05-09 11:31:25,2025-10-21,N,65.0,1.0
2778-REGGD,2022-06-16,Paid,2023-06-16,Premium,Annual,2024-09-18,Not enough content,52.33,3296,95,1,yutika,India,Meghalaya,Female,1963-08-03 11:31:25,,,,
7212-IVWZD,2021-10-23,Paid,2022-10-23,Premium,Annual,,,61.18,3976,26,0,leena,India,Nagaland,Female,1972-08-15 11:31:25,2026-01-26,N,84.0,1.0
9012-ASYFU,2022-03-01,Paid,2022-03-31,Basic,Monthly,,,6.29,415,37,0,kashvi,India,Telangana,Female,1969-03-04 11:31:25,,,,
6853-OUJXN,2024-07-01,Paid,2025-07-01,Premium,Annual,,,90.5,2534,3,0,ekaja,India,Nagaland,Female,1988-07-14 11:31:25,2025-03-28,N,85.0,1.0
9424-FJMRR,2025-12-23,Paid,2026-01-22,Standard,Monthly,,,13.05,769,33,0,nakul,India,Uttar Pradesh,Male,1994-01-02 11:31:25,2026-07-06,N,54.0,1.0
1885-AICUY,2023-04-10,Refferal,2024-04-09,Premium,Annual,,,50.4,2016,31,0,aayush,India,Delhi,Male,1994-12-09 11:31:25,,,,
6370-AFHSU,2021-01-21,Paid,2021-02-20,Premium,Monthly,,,62.76,3702,25,0,chandresh,India,Delhi,Male,1974-05-14 11:31:25,,,,
2826-VSHPC,2023-07-19,Refferal,2023-08-18,Premium,Monthly,,,31.92,1181,38,0,hredhaan,India,Meghalaya,Male,1990-03-06 11:31:25,2024-11-25,Y,36.0,1.0
0878-WYMFJ,2025-09-13,Paid,2026-09-13,Basic,Annual,2026-02-22,Too expensive,6.87,501,88,1,priya,India,Telangana,Female,1993-12-22 11:31:25,,,,
8115-OCCUV,2022-10-06,Organic,2022-11-05,Basic,Monthly,,,7.18,423,58,0,krisha,India,Maharashtra,Female,1996-04-13 11:31:25,,,,
7193-WDVFT,2023-02-27,Paid,2024-02-27,Premium,Annual,,,62.75,3263,21,0,farhan,India,Telangana,Male,1969-03-06 11:31:25,,,,
8428-ZRCZU,2024-02-26,Organic,2024-03-27,Premium,Monthly,2025-05-10,Poor streaming quality,54.7,3938,72,1,nidhi,Nepal,Kathmandu,Female,1968-08-04 11:31:25,,,,
1525-KTSWL,2020-09-06,Organic,2020-10-06,Premium,Monthly,,,90.6,5073,56,0,zarna,India,Karnataka,Female,1997-10-25 11:31:25,2026-04-10,Y,37.0,1.0
5631-XTBQV,2025-12-29,Organic,2026-01-28,Standard,Monthly,2026-04-15,Not enough content,16.24,405,81,1,mason,India,Delhi,Male,1956-09-30 11:31:25,,,,
2711-BQSTL,2026-01-13,Refferal,2026-02-12,Standard,Monthly,,,11.71,889,7,0,damini,India,Nagaland,Female,1968-08-04 11:31:25,2024-11-27,N,56.0,1.0
4902-DUTDZ,2025-10-02,Refferal,2025-11-01,Premium,Monthly,2025-12-07,Too expensive,69.48,2084,88,1,devika,India,Maharashtra,Female,1971-05-30 11:31:25,,,,
5759-ZIDHC,2022-03-15,Paid,2023-03-15,Premium,Annual,2023-08-02,Poor streaming quality,74.08,4741,73,1,garima,India,Meghalaya,Female,1959-02-03 11:31:25,2025-11-06,Y,38.0,1.0
5916-YDWOJ,2021-10-22,Paid,2022-10-22,Premium,Annual,,,55.57,1389,43,0,onveer,India,Karnataka,Male,,,,,
2501-HINFV,2023-07-18,Refferal,2023-08-17,Premium,Monthly,2024-07-26,Switched to competitor,51.99,831,92,1,kevin,India,Karnataka,Male,1995-12-08 11:31:25,2025-02-20,N,72.0,1.0
4247-EDUGX,2021-03-02,Paid,2021-04-01,Premium,Monthly,2022-02-02,Not enough content,22.15,620,98,1,atharv,India,Telangana,Male,1962-06-01 11:31:25,,,,
1889-FNBWG,2025-05-28,Paid,2025-06-27,Standard,Monthly,2025-07-21,Forgot to cancel trial,13.49,836,73,1,siddharth,India,Delhi,Male,1959-11-10 11:31:25,,,,
0862-EUZYB,2020-08-28,Organic,2021-08-28,Premium,Annual,,,36.18,1447,49,0,anthony,India,Meghalaya,Male,2006-04-22 11:31:25,,,,
4016-DYAOQ,2024-04-19,Paid,2025-04-19,Standard,Annual,,,13.94,697,8,0,dhruv,India,Rajasthan,Male,1990-06-11 11:31:25,2025-02-28,N,76.0,1.0
6102-LTPNQ,2023-10-23,Organic,2024-10-22,Premium,Annual,2024-01-22,Too expensive,73.14,2340,94,1,timothy,India,Maharashtra,Male,1968-05-31 11:31:25,,,,
1785-EEMKN,2023-11-11,Paid,2023-12-11,Premium,Monthly,2025-11-23,Too expensive,34.12,2047,82,1,unni,Nepal,Kathmandu,Female,1967-06-12 11:31:25,,,,
4896-GZAKL,2021-01-26,Refferal,2021-02-25,Standard,Monthly,,,13.39,334,40,0,daksh,India,Uttar Pradesh,Male,1969-03-24 11:31:25,,,,
1228-ABXLD,2023-10-10,Paid,2024-10-09,Premium,Annual,,,46.69,1774,20,0,falan,Nepal,Kathmandu,Male,1998-01-16 11:31:25,2026-04-23,Y,29.0,2.0
9022-MCJKQ,2023-02-09,Paid,2024-02-09,Standard,Annual,,,12.61,226,60,0,falak,India,Maharashtra,Female,1988-11-26 11:31:25,,,,
4602-BZNTZ,2022-05-30,Organic,2022-06-29,Premium,Monthly,2023-10-11,Forgot to cancel trial,88.13,4847,95,1,ansh,Nepal,Kathmandu,Male,1961-09-14 11:31:25,,,,
5878-XASYO,2025-10-21,Refferal,2025-11-20,Premium,Monthly,2026-01-10,Not enough content,18.04,667,99,1,anusha,India,Uttar Pradesh,Female,1972-06-08 11:31:25,,,,
5301-BDSDC,2024-07-23,Organic,2024-08-22,Premium,Monthly,,,50.76,2791,14,0,henry,India,Karnataka,Male,1992-03-05 11:31:25,,,,
9207-SYUFP,2022-09-02,Organic,2022-10-02,Basic,Monthly,,,6.12,263,43,0,charan,India,Meghalaya,Male,1956-11-05 11:31:25,,,,
8129-DTGZE,2026-03-28,Organic,2027-03-28,Premium,Annual,,,21.6,777,59,0,samar,India,Rajasthan,Male,1980-06-24 11:31:25,2026-06-28,N,86.0,2.0
3695-EBVHI,2025-08-10,Refferal,2026-08-10,Premium,Annual,2026-07-25,Too expensive,64.01,4480,75,1,kashish,Nepal,Kathmandu,Female,1971-02-14 11:31:25,2026-08-04,N,76.0,1.0
8849-GHGBO,2025-09-14,Refferal,2026-09-14,Standard,Annual,2025-11-27,Not enough content,12.01,780,85,1,gaurang,India,Rajasthan,Male,1964-07-19 11:31:25,,,,
